customer_id,community
7590-VHVEG,1
5575-GNVDE,2
3668-QPYBK,1
7795-CFOCW,1
9237-HQITU,1
9305-CDSKC,1
1452-KIOVK,2
6713-OKOMC,1
7892-POOKP,2
6388-TABGU,0
9763-GRSKD,2
7469-LKBCI,4
8091-TTVAX,0
0280-XJGEX,0
5129-JLPIS,2
3655-SNQYZ,0
8191-XWSZG,5
9959-WOFKT,0
4190-MFLUW,1
4183-MYFRB,2
8779-QRDMV,3
1680-VDCWW,4
1066-JKSGK,4
3638-WEABW,0
6322-HRPFA,0
6865-JZNKO,2
6467-CHFZW,2
8665-UTDHZ,1
5248-YGIJN,0
8773-HHUOZ,2
3841-NFECX,3
4929-XIHVW,3
6827-IEAUQ,2
7310-EGVHZ,4
3413-BMNZE,3
6234-RAAPL,0
6047-YHPVI,1
6572-ADKRS,2
5380-WJKOV,2
8168-UQWWF,1
8865-TNMNX,1
9489-DEDVP,0
9867-JCZSP,4
4671-VJLCL,0
4080-IIARD,2
3714-NTNFO,0
5948-UJZLF,1
7760-OYPDY,1
7639-LIAYI,0
2954-PIBKO,0
8012-SOUDQ,3
9420-LOJKX,2
6575-SUVOI,3
7495-OOKFY,3
4667-QONEA,3
1658-BYGOY,3
8769-KKTPH,0
5067-XJQFU,3
3957-SQXML,5
5954-BDFSG,0
0434-CSFON,2
1215-FIGMP,0
0526-SXDJP,0
0557-ASKVU,2
5698-BQJOH,1
5122-CYFXA,1
8627-ZYGSZ,2
3410-YOQBQ,2
3170-NMYVV,5
7410-OIEDU,1
2273-QCKXA,1
0731-EBJQB,5
1891-QRQSA,3
8028-PNXHQ,5
5630-AHZIL,1
2673-CXQEU,3
6416-JNVRK,0
5590-ZSKRV,1
0191-ZHSKZ,3
3887-PBQAO,5
5919-TMRGD,1
8108-UXRQN,1
9191-MYQKX,1
9919-YLNNG,2
0318-ZOPWS,5
4445-ZJNMU,1
4808-YNLEU,2
1862-QRWPE,5
2796-NNUFI,5
3016-KSVCP,1
4767-HZZHQ,2
2424-WVHPL,3
7233-PAHHL,0
6067-NGCEU,0
9848-JQJTX,0
8637-XJIVR,2
9803-FTJCG,0
0278-YXOOG,4
3212-KXOCR,5
4598-XLKNJ,3
6380-ARCEH,4
3679-XASPY,4
7123-WQUHX,2
5386-THSLQ,3
3192-NQECA,0
6180-YBIQI,1
6728-DKUCO,0
9750-BOOHV,1
8597-CWYHH,2
2848-YXSMW,5
0486-HECZI,0
4549-ZDQYY,0
5712-AHQNN,2
4846-WHAFZ,3
5256-SKJGO,0
3071-VBYPO,1
9560-BBZXK,1
5299-RULOA,1
8402-OOOHJ,5
9445-ZUEQE,2
1091-SOZGA,0
2928-HLDBA,4
0404-SWRVG,1
6497-TILVL,1
7219-TLZHO,4
4622-YNKIJ,2
4412-YLTKF,3
6734-PSBAW,5
3930-ZGWVE,4
2639-UGMAZ,3
2876-GZYZC,2
6207-WIOLX,1
8587-XYZSF,0
3091-FYHKI,1
2372-HWUHI,1
7799-LGRDP,5
7850-VWJUU,2
3774-VBNXY,5
6217-KDYWC,5
0390-DCFDQ,3
3146-MSEGF,3
4080-OGPJL,1
1095-WGNGG,0
2636-SJDOU,0
1131-QQZEB,6
5716-EZXZN,0
6837-BJYDQ,4
2135-RXIHG,1
6440-DKQGE,2
3466-BYAVD,2
3780-YVMFA,1
3874-EQOEP,1
1679-JRFBR,0
9073-ZZIAY,0
3077-RSNTJ,4
6551-GNYDG,2
9167-APMXZ,2
2749-CTKAJ,4
6371-NZYEG,2
7554-NEWDD,4
8992-VONJD,2
0867-MKZVY,2
4482-EWFMI,1
4648-YPBTM,0
2907-ILJBN,4
6345-FZOQH,5
3376-BMGFE,1
5997-OPVFA,0
3445-HXXGF,3
1159-WFSGR,4
7654-YWJUF,2
1875-QIVME,1
6727-IOTLZ,2
0691-JVSYA,0
5918-VUKWP,4
1744-JHKYS,4
2656-FMOKZ,3
2070-FNEXE,3
5947-SGKCL,2
3712-PKXZA,5
6317-YPKDH,1
6582-OIVSP,1
9367-WXLCH,1
5524-KHNJP,2
1918-ZBFQJ,2
1024-GUALD,1
4827-USJHP,2
8167-GJLRN,1
0956-SYCWG,4
8017-UVSZU,2
7100-FQPRV,2
2472-OVKUP,1
2984-RGEYA,5
9680-NIAUV,0
2146-EGVDT,5
2604-IJPDU,2
9178-JHUVJ,5
6168-YBYNP,0
7255-SSFBC,0
3645-DEYGF,4
9323-HGFWY,2
8544-GOQSH,2
3363-DTIVD,0
7018-WBJNK,2
9142-KZXOP,2
7674-YTAFD,2
6348-SNFUS,0
1285-OKIPP,1
7825-ECJRF,2
1347-KTTTA,0
7841-TZDMQ,1
4195-NZGTA,1
7157-SMCFK,5
4709-LKHYG,4
2504-DSHIH,3
0699-NDKJM,0
9286-BHDQG,0
0230-WEQUW,0
2040-LDIWQ,0
6496-JDSSB,1
9408-SSNVZ,1
4443-EMBNA,5
6469-MRVET,4
0742-MOABM,1
5961-VUSRV,4
6778-JFCMK,1
6341-JVQGF,2
2232-DMLXU,1
4811-JBUVU,2
0945-TSONX,0
2651-ZCBXV,0
3316-UWXUY,0
8937-RDTHP,1
7083-MIOPC,5
1984-GPTEH,4
1251-KRREG,1
0621-JFHOL,1
9903-LYSAB,2
0094-OIFMO,3
9227-UAQFT,4
7301-ABVAD,0
6614-FHDBO,0
7576-ASEJU,2
9058-HRZSV,3
4522-AKYLR,3
0221-WMXNQ,3
0303-UNCIP,2
9947-OTFQU,3
0322-YINQP,1
0959-WHOKV,2
4075-JFPGR,0
4629-NRXKX,1
9514-JDSKI,3
3282-ZISZV,2
3675-YDUPJ,4
4111-BNXIF,0
7017-VFHAY,0
6655-LHBYW,0
4959-JOSRX,1
5046-NUHWD,3
7273-TEFQD,3
3606-TWKGI,3
7529-ZDFXI,3
7605-BDWDC,1
1950-KSVVJ,0
0123-CRBRT,0
6292-TOSSS,5
3197-ARFOY,3
6323-AYBRX,5
7014-ZZXAW,5
4385-GZQXV,3
7633-MVPUY,0
6366-ZGQGL,1
4716-HHKQH,3
5940-AHUHD,1
6432-TWQLB,1
4484-GLZOU,0
3179-GBRWV,3
8645-KWHJO,1
4130-MZLCC,1
0314-TKOSI,1
8229-MYEJZ,1
2080-SRCDE,4
9577-WJVCQ,0
9512-UIBFX,2
6202-DYYFX,2
3808-HFKDE,2
5583-SXDAG,1
3488-PGMQJ,3
3580-REOAC,1
7534-BFESC,3
3727-OWVYD,2
2294-SALNE,2
4847-TAJYI,3
1563-IWQEX,4
8203-XJZRC,4
6556-DBKZF,0
6851-WEFYX,3
2985-JUUBZ,2
6390-DSAZX,1
0895-LMRSF,2
8098-LLAZX,3
8266-VBFQL,1
8181-YHCMF,0
2240-HSJQD,2
1248-DYXUB,5
0265-EDXBD,3
4115-BNPJY,2
3167-SNQPL,3
4091-TVOCN,0
1098-TDVUQ,4
7277-OZCGZ,2
1557-EMYVT,0
2799-ARNLO,3
7563-BIUPC,1
5027-YOCXN,0
3973-SKMLN,5
2321-OMBXY,2
2840-XANRC,3
6745-JEFZB,2
5020-ZSTTY,3
9880-TDQAC,0
8705-WZCYL,1
7102-JJVTX,1
8626-PTQGE,0
4983-CLMLV,0
5701-YVSVF,3
5804-LEPIM,3
5697-GOMBF,3
2739-CACDQ,3
9385-EHGDO,5
9498-FIMXL,4
2379-GYFLQ,2
0122-OAHPZ,1
2868-SNELZ,1
4322-RCYMT,0
6680-NENYN,0
2088-IEBAU,0
7982-VCELR,2
1343-EHPYB,0
6035-BXTTY,3
6885-PKOAM,0
7520-HQWJU,0
9639-BUJXT,5
5924-SNGKP,5
0021-IKXGC,3
2034-GDRCN,1
8966-SNIZF,5
6243-OZGFH,1
4654-DLAMQ,3
0513-RBGPE,2
5160-UXJED,2
4115-NZRKS,3
0219-YTZUE,1
0623-IIHUG,3
4572-DVCGN,1
3351-NGXYI,3
8984-EYLLL,0
9057-MSWCO,3
9833-TGFHX,2
9294-TDIPC,4
5229-DTFYB,0
0104-PPXDV,0
5176-LMJXE,5
3583-KRKMD,2
1010-DIAUQ,1
9069-LGEUL,2
7302-ZHMHP,4
9571-EDEBV,0
3520-FJGCV,0
6563-VRERX,4
0259-GBZSH,1
6122-EFVKN,1
2805-EDJPQ,0
6862-CQUMB,2
7156-MXBJE,2
6158-HDPXZ,1
9601-BRXPO,2
2863-IMQDR,0
5686-CMAWK,2
5651-CRHKQ,2
6905-NIQIN,1
8204-YJCLA,3
5167-ZFFMM,1
6583-SZVGP,0
4895-TMWIR,6
0533-BNWKF,3
1708-PBBOA,1
8782-LKFPK,2
5522-JBWMO,1
3597-MVHJT,2
9774-NRNAU,3
0224-RLWWD,3
9967-ATRFS,4
3951-NJCVI,3
2977-CEBSX,0
0177-PXBAT,3
6599-CEBNN,2
2519-ERQOJ,3
5876-QMYLD,4
2277-AXSDC,4
9442-JTWDL,4
0979-PHULV,0
3067-SVMTC,0
5495-GPSRW,4
7606-BPHHN,5
4742-DRORA,0
0111-KLBQG,3
4800-VHZKI,4
7989-CHGTL,4
0334-GDDSO,3
4163-NCJAK,5
5233-AOZUF,2
5973-EJGDP,0
1996-DBMUS,3
7916-VCCPB,2
4686-GEFRM,0
5249-QYHEX,5
0578-SKVMF,2
